Name	Notes	Age	FakeAddresses	Hobbies
Cindi Arthurson		36	8864 North Pheasant St. Astoria, NY 11102	Beachcombing
Bobbi Simpson		58	63 Peg Shop St. San Carlos, CA 94070	Playing music
Garret Adams		43	117 Manchester St. Wakefield, MA 01880	Listening to music
Richard Bellamy		29	7593 Berkshire St. Yakima, WA 98908	Fly Tying
Jonny Ayers		31	7334 W. Manor Ave. Waterford, MI 48329	Pyrotechnics
Roberta Trask		70	733 North Strawberry Ave. Jackson, NJ 08527	Model Rockets
Tamela Walterson		25	62 E. Cedar Court East Orange, NJ 07017	Warhammer
Elea Christophers		19	8756 W. University Dr. Commack, NY 11725	Collecting
Carla Michael		46	7967 Lawrence Dr. Spring Hill, FL 34608	Exercise (aerobics, weights)
Chloe Pitts		34	290 Homewood St. Romulus, MI 48174	Geocaching
Clay Bonher		14	82 Bridle Road Sacramento, CA 95820	Go Kart Racing
Cyndi Fitzroy		55	7334 W. Manor Ave. Waterford, MI 48329	Jump Roping
Elijah Earlson		43	7935 Airport St. Jacksonville Beach, FL 32250	Games
Harry Sampson		21	8394 Buckingham Street Conway, SC 29526	Computer activities
Frederick Butler		34	323 Ketch Harbour St. Moses Lake, WA 98837	Scuba Diving
Bennett Stacks		50	9532 Oakwood Street Bakersfield, CA 93306	Painting
Florrie School		29	7 Windfall Lane Royal Oak, MI 48067	Soccer
Jon Seymour		37	596 Courtland Rd. Nutley, NJ 07110	Kites
Jamey Jarvis		45	8527 4th St. Fargo, ND 58102	Tool Collecting
Corrie Strudwick		54	7546 Prince Street Louisville, KY 40207	Internet
Lizzie Shelby		43	696 Cardinal Rd. Coventry, RI 02816	Games
Yolanda Turner		33	7055 Lake Forest Ave. Augusta, GA 30906	Speed Cubing (rubix cube)
Katherine Blake		38	440 Edgewater Lane Baldwinsville, NY 13027	Electronics
Joye Hopkins		42	30 Queen Court Pueblo, CO 81001	Airbrushing
Leo Styles		22	447 3rd Avenue Woburn, MA 01801	Windsurfing
Gwenda Elliston		27	789 Cherry Dr. Dorchester, MA 02125	Horse riding
Quinton Garrard		46	7 Thorne Ave. Union City, NJ 07087	Knotting
Woodrow Albinson		36	559 Lake Forest Road Patchogue, NY 11772	Candle Making
Kara Faulkner		18	457 Rockland St. Muskogee, OK 74403	Sky Diving
Augustine Earls		21	78 Yukon Drive Erlanger, KY 41018	Calligraphy
Thomas Upton		22	37 Academy Dr. Teaneck, NJ 07666	Writing
Calla Overton		44	863 Longbranch Rd. Oak Lawn, IL 60453	Meditation
Sonia Deering		25	761 Hilltop Dr. Egg Harbor Township, NJ 08234	Ultimate Frisbee
Monroe Peak		48	524 Wood Rd. Ozone Park, NY 11417	Writing Music
April Green		25	611 Beaver Ridge Court Belmont, MA 02478	Skeet Shooting
Carrie Glover		28	67 Lafayette Street Watertown, MA 02472	Baseball
Tania Timberlake		54	88 Tallwood Ave. Davenport, IA 52804	Scuba Diving
Asher Hardy		21	8890 South Dunbar Avenue Indian Trail, NC 28079	Parkour
Forest Jenkins		26	60 Myers St. Maplewood, NJ 07040	Bicycling
Gretta Walter		23	7754 Orchard Road Rowlett, TX 75088	Amateur Astronomy
Magdalena Tobias		40	57 Court Street Union City, NJ 07087	TV watching
Cara Bloxam		34	8571 Miles Road Lake Mary, FL 32746	Lacrosse
Karina Arthurson		21	762 Blackburn St. Hernando, MS 38632	Hot air ballooning
Marie Roberts		25	8177 Hill Field St. Powhatan, VA 23139	Puppetry
Rosanna Keys		33	2 Pumpkin Hill Drive Greenwood, SC 29646	Amateur Astronomy
Merrill Seabrooke		32	2 Pumpkin Hill Drive Greenwood, SC 29646	Owning An Antique Car
Jefferson Auteberry		48	216 Linda Avenue Staunton, VA 24401	Freshwater Aquariums
Louise Harrison		44	9065 North Front Ave. Plainfield, NJ 07060	Airbrushing
Darien Arthurson		55	30 Hillside Rd. Gloucester, MA 01930	Canoeing
Roosevelt Revie		36	7126 Wilson Ave. Cockeysville, MD 21030	Bringing Food To The Disabled
Fenton Hopson		32	12 Alderwood Street Bemidji, MN 56601	Shopping
Suzan Richard		34	9477 Kent Drive South Bend, IN 46614	Lacrosse
Charissa Kellogg		23	596 Courtland Rd. Nutley, NJ 07110	Collecting RPM Records
Priscilla Eads		36	8870 Buckingham Rd. Winter Park, FL 32792	Paintball
Iggy Evered		18	213 West Strawberry Street Hinesville, GA 31313	Paintball
Grady Jans		48	40 East Street Indiana, PA 15701	Bell Ringing
Henderson Goode		61	92 School Street Oswego, NY 13126	Listening to music
Duke Trevis		37	16 Lyme Avenue Delray Beach, FL 33445	Socializing with friends/neighbors
Dawn Hillam		32	291 Marlborough Dr. South Plainfield, NJ 07080	Storytelling
Kory Henryson		21	78 East Mechanic Street Mahwah, NJ 07430	Pinochle
Adrianne Martin		49	8141 Paris Hill Ave. Revere, MA 02151	Cross-Stitch
Rupert Kendall		50	93B Maiden Ave. Norwood, MA 02062	Learning To Pilot A Plane
Krystal Hale		29	58 Bayberry Dr. Irwin, PA 15642	TV watching
Annie Symons		21	177 E. Annadale Road Beverly, MA 01915	Playing music
Sheila Romilly		45	40 Prospect St. Elyria, OH 44035	Speed Cubing (rubix cube)
Jorie Moore		49	615 Forest Street Harrisburg, PA 17109	Fishing
Augusta Sawyer		20	523 W. Manor Station Lane Stratford, CT 06614	Embroidery
Alyce Ray		22	9554 Jackson Drive Newport News, VA 23601	Illusion
Tiffani Black		55	423 Birchpond Dr. Braintree, MA 02184	Educational Courses
Emma Longstaff		25	47 Shore Court Owosso, MI 48867	Puppetry
Matthew Anderson		27	35 Mill Pond Ave. Lowell, MA 01851	Wingsuit Flying
Cade Morriss		60	98 Rockaway Dr. West Orange, NJ 07052	Ziplining
Alger Timothyson		23	457 Rockland St. Muskogee, OK 74403	Writing
Maggie Summers		60	8864 North Pheasant St. Astoria, NY 11102	Weather Watcher
Evonne Summers		41	8150 Kirkland Drive Fairhope, AL 36532	Paintball
Terrence Wilkinson		24	8593 South Division St. Lapeer, MI 48446	Conworlding
Mortimer Baker		28	98 S. Tailwater Road Mount Holly, NJ 08060	Spelunkering
Sherilyn Gardenar		30	802 E. Mill St. Orland Park, IL 60462	Modeling Ships
Denice Franklin		38	181 Wilson Court Ponte Vedra Beach, FL 32082	Renting movies
Wilmer Whitney		45	486 Oxford Dr. Merrick, NY 11566	Drawing
Jere Pitts		54	2 Pumpkin Hill Drive Greenwood, SC 29646	Video Games
Corina Eaton		45	762 Blackburn St. Hernando, MS 38632	Going to movies
Mildred Patrickson		63	8687 Adams Ave. Sevierville, TN 37876	Calligraphy
Stan Mills		36	7241 W. Foster Road Bensalem, PA 19020	Motorcycles
Chester Jacobson		63	29 South Sycamore Lane Holland, MI 49423	Storytelling
Suellen Stacks		65	466 Gulf Avenue Far Rockaway, NY 11691	Hunting
Alyssa Roydon		16	78 Clark Ave. Winter Garden, FL 34787	Exercise (aerobics, weights)
Jasmine Harman		30	8141 Paris Hill Ave. Revere, MA 02151	Matchstick Modeling
Cade Salvage		25	44 North Selby St. Appleton, WI 54911	Pottery
Lora Wortham		40	478 S. Lakewood Road Manitowoc, WI 54220	Digital Photography
Vincent Nathanson		31	7967 Lawrence Dr. Spring Hill, FL 34608	Basketball
Adrianna Oakley		25	7652 Homestead St. Franklin, MA 02038	Parkour
Calvin Sampson		32	560 Race St. Amarillo, TX 79106	Learning To Pilot A Plane
Bambi Elliston		30	8930 Valley St. Mankato, MN 56001	Juggling
Zackary Willis		48	404 Buckingham Street Carmel, NY 10512	Boomerangs
Abigail Abrahamson		34	8765 Saxon Road Indiana, PA 15701	Games
Cooper Cross		20	7 Cypress Ave. Cuyahoga Falls, OH 44221	Singing In Choir
Eldon Anderson		29	64 Bellevue Ave. Port Richey, FL 34668	Paintball
Janine Howe		60	9065 North Front Ave. Plainfield, NJ 07060	Guitar
Sherry Westbrook		26	780 King Drive Dekalb, IL 60115	Ghost Hunting
Trudy Earl		48	29 Clay Lane Harrisonburg, VA 22801	Collecting RPM Records
Aretha Jarvis		48	437 Rock Creek Ave. Evanston, IL 60201	Sketching
Emil Keen		28	59 William Court Barrington, IL 60010	Spending time with family/kids
Quinton Stevens		60	64 Park St. Hyde Park, MA 02136	Base Jumping
Georgene Loman		37	37 Park Street Easton, PA 18042	Educational Courses
Alison Chancellor		41	15 El Dorado St. Greenwood, SC 29646	Motorcycles
Colin Watson		54	8418 Hudson St. Beverly, MA 01915	Wingsuit Flying
Lucky Steed		18	11 Wakehurst Drive Rocklin, CA 95677	Surfing
Layne Day		25	222 Roosevelt Street Saint Johns, FL 32259	Leathercrafting
Angelina Pond		30	76 North Pin Oak St. Danville, VA 24540	Cake Decorating
Jeana Avery		21	40 East Street Indiana, PA 15701	Blacksmithing
Isabelle Kirby		30	31 Pennsylvania St. Avon Lake, OH 44012	Weather Watcher
Van Hollins		17	7935 Airport St. Jacksonville Beach, FL 32250	Owning An Antique Car
Miriam Martins		27	7 Thorne Ave. Union City, NJ 07087	Marksmanship
Ginnie Tucker		23	83 East Brookside Dr. Garden City, NY 11530	Frisbee Golf
Stephen Suggitt		30	30 Queen Court Pueblo, CO 81001	Kite Boarding
Wilmer Kidd		20	729 Elm St. North Royalton, OH 44133	Parachuting
Emory Tash		18	615 Forest Street Harrisburg, PA 17109	Playing music
Moe Christianson		24	8748 Hillside Rd. North Miami Beach, FL 33160	Shopping
Roly Jones		29	8141 West Amerige Street Catonsville, MD 21228	Saltwater Aquariums
Ramsey Christinson		46	661 W. Boston Drive Lombard, IL 60148	Cooking
Anthony Burnham		36	66 University Ave. Perth Amboy, NJ 08861	R/C Boats
Ambrose Carlisle		27	775 Ketch Harbour Lane Clinton Township, MI 48035	Kayaking
Tobin Rupertson		25	2 Pumpkin Hill Drive Greenwood, SC 29646	Pyrotechnics
Ezra Eason		18	59 Myers Street Elmont, NY 11003	Acting
Tammy Quincy		34	56 Peachtree Court Prattville, AL 36067	Drawing
Alease Baldwin		41	62 Arrowhead St. Hempstead, NY 11550	Beach/Sun tanning
Harris Maddison		54	24 Vermont Ave. Petersburg, VA 23803	Soccer
Len Jans		32	8141 West Amerige Street Catonsville, MD 21228	Urban Exploration
Hortense Snider		19	5 Pilgrim Drive Medford, MA 02155	Tetris
Macy Michaelson		29	661 Manor Circle Gaithersburg, MD 20877	Hiking
Tommy Bryant		43	7290 Liberty Circle Lake Villa, IL 60046	Making Model Cars
Wilson Attwater		42	8701 Fordham Drive Randallstown, MD 21133	Fast cars
Dwight Morris		52	15 W. Sunbeam Ave. Uniondale, NY 11553	R/C Helicopters
Flossie Mercer		33	67 Lafayette Street Watertown, MA 02472	Boomerangs
Tanya Romilly		20	37 Miles Street Huntley, IL 60142	Collecting Sports Cards (Baseball, Football, Basketball, Hockey)
Jenn Hayes		65	7250 Thomas Street Colonial Heights, VA 23834	Speed Cubing (rubix cube)
Georgina Isaacson		36	7881 Fairview Ave. Enterprise, AL 36330	Kayaking
Carmen Dickenson		50	560 Wild Horse Dr. Owings Mills, MD 21117	Meditation
Pheobe Miles		33	186 West 8th Dr. Saint Petersburg, FL 33702	Ghost Hunting
Harmon Thompson		17	7049 Stonybrook Avenue Harlingen, TX 78552	Frisbee Golf
Dorris Upton		18	91 Wild Horse St. Mahopac, NY 10541	Leathercrafting
Cari Dickenson		43	690 East Street Feasterville Trevose, PA 19053	Bicycling
Marty Martel		43	580 University Ave. Bonita Springs, FL 34135	Bell Ringing
Regina Potter		61	7055 Lake Forest Ave. Augusta, GA 30906	Scuba Diving
Prissy Shelby		34	9710 Woodside St. Hope Mills, NC 28348	Kayaking
Joan Ryers		52	9781 Thomas Road Bedford, OH 44146	Papermache
Harlan Bullard		49	9477 Kent Drive South Bend, IN 46614	Jump Roping
